Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-dk.ehealth.sundhed.fhir.ig.core.json	646792	-	0	0	0	0	0	0	66	83	0	0	0	0	0	0	0	4	0	0	1590	843	0	0	0	60	0	19
fsh-generated/resources/Appointment-appointment01.json	2562	3	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	16	23	0	0	0	0	0	0
fsh-generated/resources/Appointment-group-appointment01.json	5494	2	0	0	3	0	0	0	1	770	0	0	0	0	0	0	0	0	0	0	26	27	0	0	0	0	0	0
fsh-generated/resources/Appointment-group-videoappointment01.json	4304	2	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	20	16	0	0	0	0	0	0
fsh-generated/resources/Appointment-videoappointment01.json	3439	3	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	18	13	0	0	0	0	0	0
fsh-generated/resources/CareTeam-108752.json	560	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0
fsh-generated/resources/CareTeam-42.json	555	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MessageTypeCS.json	526	1	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	9	57	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ehealth-carecommunication-category.json	1853	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	54	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ehealth-carecommunication-priority.json	528	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	9	38	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ehealth-message-channel.json	426	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	34	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ehealth-telecom-purpose.json	498	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	32	0	0	0	0	0	0
fsh-generated/resources/Condition-42.json	523	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0
fsh-generated/resources/Consent-1.json	901	1	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0	0	0
fsh-generated/resources/Consent-23.json	1291	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	21	9	0	0	0	0	0	0
fsh-generated/resources/EpisodeOfCare-42.json	1102	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0
fsh-generated/resources/Organization-108752.json	2388	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
fsh-generated/resources/Organization-8564.json	2364	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Parameters-expParam.json	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/Patient-102.json	1550	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	0
fsh-generated/resources/Patient-291.json	651	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/Practitioner-107302.json	302	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0
fsh-generated/resources/Practitioner-123.json	299	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
fsh-generated/resources/Practitioner-42.json	298	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/Provenance-1.json	841	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-relatedperson-videosms.json	960	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-relatedperson01.json	1731	1	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-access-consent.json	1260	1	0	34	0	0	0	1	0	24	0	0	0	0	0	0	0	0	0	0	169	784	0	1	0	5	0	1
fsh-generated/resources/StructureDefinition-ehealth-access-provenance.json	2613	1	0	21	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	126	244	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ehealth-actionTrigger.json	5724	1	0	22	1	0	0	0	1	37	0	0	0	0	0	0	0	0	0	0	166	239	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-ehealth-actionguidance-for.json	3698	1	0	12	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	106	172	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-ehealth-actionguidance-type.json	1450	1	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	36	122	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-actionguidance.json	5525	1	0	34	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	128	201	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ehealth-activitydefinition.json	7397	1	0	71	0	0	0	0	0	19	0	0	1	0	0	0	0	1	0	0	256	332	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-ehealth-administrative-status.json	1601	1	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	41	127	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-aggregate-group-id.json	1443	0	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	34	117	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-ehealth-aggregate-id.json	1415	1	0	5	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	34	114	0	0	0	1	0	0
