URL,Version,Status,OIDs,Name,Title,Description,Used
http://ehealth.sundhed.dk/cs/action,3.5.0,active,,Action,Action,"Action Code",
http://ehealth.sundhed.dk/cs/action-guidance-types,3.5.0,active,,ActionGuidanceType,Action guidance types,"Action guidance types",
http://ehealth.sundhed.dk/cs/action-type,3.5.0,active,,ActionType,Action Type,"Action type",
http://ehealth.sundhed.dk/cs/activitydefinition-code,3.5.0,active,,ActivityDefinitionCodes,Activity Definition Codes,"Kinds of activities",
http://ehealth.sundhed.dk/cs/administrative-status,3.5.0,active,,AdministrativeStatus,Administrative Status,"Administrative status",
http://ehealth.sundhed.dk/cs/appointment-reason,3.5.0,active,,AppointmentReason,Appointment Reason,"Appointment Reason",
http://ehealth.sundhed.dk/cs/appointment-servicetype,3.5.0,active,,AppointmentServiceTypes,Appointment Service Types,"Appointment service type",
http://ehealth.sundhed.dk/cs/appointmenttype-codes,3.5.0,active,,AppointmentTypeCodes,Appointment Type Codes,"Appointment type code",
http://ehealth.sundhed.dk/cs/basic-resource-type,3.5.0,active,,BasicResourceType,Basic resource type,"Basic resource type",
http://ehealth.sundhed.dk/cs/careplan-category,3.5.0,active,,CarePlanCategory,CarePlan Category,"Care Plan Category",
http://ehealth.sundhed.dk/cs/careteam-category,3.5.0,active,,CareTeamCategory,CareTeam Category,"Care Team Category",
http://ehealth.sundhed.dk/cs/careteam-participant-role,3.5.0,active,,CareTeamParticipantRole,CareTeam Participant Role,"Care Team Participant Role",
http://ehealth.sundhed.dk/cs/clinicalimpression-codes,3.5.0,active,,ClinicalImpressionCodes,ClinicalImpression Codes,"Assessment types",
http://ehealth.sundhed.dk/cs/clinicalimpression-decision-codes,3.5.0,active,,ClinicalImpressionDecisionCodes,ClinicalImpression Decision Codes,"Clinical Impression Decision Codes",
http://ehealth.sundhed.dk/cs/clinicalimpression-finding-codes,3.5.0,active,,ClinicalImpressionFindingCodes,ClinicalImpression Finding Codes,"Clinical Impression Finding Codes",
http://ehealth.sundhed.dk/cs/clinicalimpression-investigation-item-codes,3.5.0,active,,ClinicalImpressionInvestigationItemCodes,ClinicalImpression Investigation Item Codes,"Clinical Impression Investigation Item Codes",
